file_id,hour,minute,second,cropped_filename,cam_id,person_id,class,camera,aspect_ratio,width,height,original_class,reason
17-48-08,17,48,8,person_000001_image_000001_conf_87.39.jpg,cam1,junk,junk,cam1,1.9968253968253968,315,629,junk,Image failed due to: Light sources detected
17-48-08,17,48,8,person_000002_image_000001_conf_76.94.jpg,cam1,junk,junk,cam1,1.420749279538905,347,493,junk,"Image failed due to: Poor aspect ratio, Light sources detected, Body occlusion detected"
17-48-08,17,48,8,person_000003_image_000001_conf_73.87.jpg,cam1,junk,junk,cam1,1.342443729903537,622,835,junk,"Image failed due to: Poor image quality, Poor aspect ratio, Light sources detected, Body occlusion detected"
17-48-08,17,48,8,person_000004_image_000001_conf_72.45.jpg,cam1,good,good,cam1,3.0242424242424244,330,998,good,"Image passed with positive features: Passed initial quality check, Excellent image quality, Excellent aspect ratio, Full head visibility, Full torso visibility"
17-48-11,17,48,11,person_000005_image_000002_conf_79.24.jpg,cam1,junk,junk,cam1,1.3435483870967742,620,833,junk,"Image failed due to: Poor image quality, Poor aspect ratio, Body occlusion detected"
17-48-11,17,48,11,person_000006_image_000002_conf_75.86.jpg,cam1,good,junk,cam1,2.5893416927899686,319,826,good,Image failed due to: Light sources detected
17-48-11,17,48,11,person_000007_image_000002_conf_74.09.jpg,cam1,junk,junk,cam1,2.031545741324921,317,644,junk,Image failed due to: Light sources detected
17-48-13-1,17,48,13,person_000008_image_000003_conf_82.95.jpg,cam1,good,good,cam1,3.282758620689655,290,952,good,"Image passed with positive features: Passed initial quality check, Excellent image quality, Excellent aspect ratio, Full head visibility, Full torso visibility"
17-48-13-1,17,48,13,person_000009_image_000003_conf_81.98.jpg,cam1,good,junk,cam1,2.7285714285714286,280,764,good,Image failed due to: Light sources detected
17-48-13-1,17,48,13,person_000010_image_000003_conf_75.11.jpg,cam1,junk,good,cam1,2.572992700729927,274,705,junk,"Image passed with positive features: Passed initial quality check, Excellent image quality, Excellent aspect ratio, Full head visibility, Full torso visibility"
17-48-13-1,17,48,13,person_000011_image_000003_conf_71.70.jpg,cam1,good,good,cam1,2.2142857142857144,210,465,good,"Image passed with positive features: Passed initial quality check, Excellent image quality, Excellent aspect ratio, Full head visibility, Full torso visibility"
17-48-13-1,17,48,13,person_000012_image_000003_conf_71.08.jpg,cam1,junk,junk,cam1,1.4684684684684686,333,489,junk,"Image failed due to: Poor aspect ratio, Light sources detected, Body occlusion detected"
17-48-13-2,17,48,13,person_000013_image_000004_conf_76.02.jpg,cam1,good,good,cam1,3.7022900763358777,262,970,good,"Image passed with positive features: Passed initial quality check, Excellent image quality, Excellent aspect ratio, Full head visibility, Full torso visibility"
