file_id,hour,minute,second,cropped_filename,cam_id,person_id,class
17-48-08,17,48,08,person_000001_image_000001_conf_87.39.jpg,cam1,junk,junk
17-48-08,17,48,08,person_000002_image_000001_conf_76.94.jpg,cam1,junk,junk
17-48-08,17,48,08,person_000003_image_000001_conf_73.87.jpg,cam1,junk,junk
17-48-08,17,48,08,person_000004_image_000001_conf_72.45.jpg,cam1,good,good
17-48-11,17,48,11,person_000005_image_000002_conf_79.24.jpg,cam1,junk,junk
17-48-11,17,48,11,person_000006_image_000002_conf_75.86.jpg,cam1,good,good
17-48-11,17,48,11,person_000007_image_000002_conf_74.09.jpg,cam1,junk,junk
17-48-13-1,17,48,13,person_000008_image_000003_conf_82.95.jpg,cam1,good,good
17-48-13-1,17,48,13,person_000009_image_000003_conf_81.98.jpg,cam1,good,good
17-48-13-1,17,48,13,person_000010_image_000003_conf_75.11.jpg,cam1,junk,junk
17-48-13-1,17,48,13,person_000011_image_000003_conf_71.70.jpg,cam1,good,good
17-48-13-1,17,48,13,person_000012_image_000003_conf_71.08.jpg,cam1,junk,junk
17-48-13-2,17,48,13,person_000013_image_000004_conf_76.02.jpg,cam1,good,good
17-48-13-2,17,48,13,person_000014_image_000004_conf_75.83.jpg,cam1,good,good
17-48-13-2,17,48,13,person_000015_image_000004_conf_75.74.jpg,cam1,junk,junk
17-48-15,17,48,15,person_000016_image_000005_conf_84.35.jpg,cam1,good,good
17-48-15,17,48,15,person_000017_image_000005_conf_81.66.jpg,cam1,junk,junk
17-48-15,17,48,15,person_000018_image_000005_conf_81.04.jpg,cam1,good,good
17-48-15,17,48,15,person_000019_image_000005_conf_76.81.jpg,cam1,junk,junk
17-48-15,17,48,15,person_000020_image_000005_conf_75.72.jpg,cam1,junk,junk
17-48-15,17,48,15,person_000021_image_000005_conf_72.15.jpg,cam1,good,good
17-48-15,17,48,15,person_000022_image_000005_conf_71.19.jpg,cam1,good,good
17-48-18-1,17,48,18,person_000023_image_000006_conf_82.29.jpg,cam1,good,good
17-48-18-1,17,48,18,person_000024_image_000006_conf_79.05.jpg,cam1,junk,junk
17-48-18-1,17,48,18,person_000025_image_000006_conf_77.20.jpg,cam1,junk,junk
17-48-18-1,17,48,18,person_000026_image_000006_conf_73.93.jpg,cam1,junk,junk
17-48-18-2,17,48,18,person_000027_image_000007_conf_76.14.jpg,cam1,good,good
17-48-18-2,17,48,18,person_000028_image_000007_conf_75.80.jpg,cam1,junk,junk
17-48-18-2,17,48,18,person_000029_image_000007_conf_75.76.jpg,cam1,good,good
17-48-22,17,48,22,person_000030_image_000008_conf_83.14.jpg,cam1,person9,good
17-48-22,17,48,22,person_000031_image_000008_conf_73.73.jpg,cam1,junk,junk
17-48-22,17,48,22,person_000032_image_000008_conf_70.74.jpg,cam1,junk,junk
17-48-22,17,48,22,person_000033_image_000008_conf_70.59.jpg,cam1,junk,junk
17-48-25,17,48,25,person_000034_image_000009_conf_85.35.jpg,cam1,junk,junk
17-48-25,17,48,25,person_000035_image_000009_conf_80.89.jpg,cam1,person9,good
17-48-25,17,48,25,person_000036_image_000009_conf_79.92.jpg,cam1,good,good
17-48-25,17,48,25,person_000037_image_000009_conf_74.36.jpg,cam1,junk,junk
17-48-27-1,17,48,27,person_000038_image_000010_conf_83.55.jpg,cam1,good,good
17-48-27-1,17,48,27,person_000039_image_000010_conf_82.97.jpg,cam1,junk,junk
17-48-27-1,17,48,27,person_000040_image_000010_conf_75.57.jpg,cam1,junk,junk
17-48-27-1,17,48,27,person_000041_image_000010_conf_73.91.jpg,cam1,junk,junk
17-48-27-2,17,48,27,person_000042_image_000011_conf_83.55.jpg,cam1,good,good
17-48-27-2,17,48,27,person_000043_image_000011_conf_82.97.jpg,cam1,junk,junk
