file_id,hour,minute,second
17-40-05,17,40,05
17-40-07,17,40,07
17-40-08-1,17,40,08
17-40-08-2,17,40,08
17-40-09,17,40,09
17-40-10,17,40,10
17-40-12-1,17,40,12
17-40-12-2,17,40,12
17-40-13,17,40,13
17-40-18-1,17,40,18
17-40-18-2,17,40,18
17-40-22,17,40,22
17-40-23,17,40,23
17-40-24-1,17,40,24
17-40-24-2,17,40,24
17-40-26,17,40,26
17-40-30,17,40,30
17-40-35,17,40,35
17-40-36-1,17,40,36
17-40-36-2,17,40,36
17-40-38,17,40,38
17-40-39,17,40,39
17-40-42,17,40,42
17-40-44,17,40,44
17-40-45-1,17,40,45
17-40-45-2,17,40,45
17-40-46-1,17,40,46
17-40-46-2,17,40,46
17-40-50,17,40,50
17-40-51-1,17,40,51
17-40-51-2,17,40,51
17-40-51-3,17,40,51
17-40-51-4,17,40,51
17-40-53,17,40,53
17-40-58,17,40,58
17-41-00,17,41,00
17-41-01,17,41,01
17-41-05,17,41,05
17-41-12-1,17,41,12
17-41-12-2,17,41,12
17-41-14,17,41,14
17-41-16-1,17,41,16
17-41-16-2,17,41,16
17-41-17,17,41,17
17-41-18,17,41,18
17-41-22-1,17,41,22
17-41-22-2,17,41,22
17-41-23,17,41,23
17-41-24,17,41,24
17-41-26,17,41,26
17-41-27,17,41,27
17-41-30,17,41,30
17-41-34,17,41,34
17-41-36,17,41,36
17-41-37,17,41,37
17-41-38-1,17,41,38
17-41-38-2,17,41,38
17-41-39,17,41,39
17-41-40,17,41,40
17-41-42,17,41,42
17-41-43-1,17,41,43
17-41-43-2,17,41,43
17-41-46,17,41,46
17-41-48-1,17,41,48
17-41-48-2,17,41,48
17-41-49-1,17,41,49
17-41-49-2,17,41,49
17-41-49-3,17,41,49
17-41-50-1,17,41,50
17-41-50-2,17,41,50
17-41-50-3,17,41,50
17-41-50-4,17,41,50
17-41-52-1,17,41,52
17-41-52-2,17,41,52
17-41-53,17,41,53
17-41-54-1,17,41,54
17-41-54-2,17,41,54
17-41-54-3,17,41,54
17-41-56,17,41,56
17-41-58,17,41,58
17-41-59,17,41,59
17-42-01,17,42,01
17-42-03,17,42,03
17-42-04-1,17,42,04
17-42-04-2,17,42,04
17-42-04-3,17,42,04
17-42-05-1,17,42,05
17-42-05-2,17,42,05
17-42-06,17,42,06
17-42-08-1,17,42,08
17-42-08-2,17,42,08
17-42-10-1,17,42,10
17-42-10-2,17,42,10
17-42-11-1,17,42,11
17-42-11-2,17,42,11
17-42-12,17,42,12
17-42-13,17,42,13
17-42-14-1,17,42,14
17-42-14-2,17,42,14
17-42-17,17,42,17
17-42-18-1,17,42,18
17-42-18-2,17,42,18
17-42-20-1,17,42,20
17-42-20-2,17,42,20
17-42-21,17,42,21
17-42-22,17,42,22
17-42-23-1,17,42,23
17-42-23-2,17,42,23
17-42-23-3,17,42,23
17-42-24,17,42,24
17-42-26,17,42,26
17-42-27,17,42,27
17-42-28,17,42,28
17-42-30,17,42,30
17-42-31,17,42,31
17-42-35-1,17,42,35
17-42-35-2,17,42,35
17-42-37,17,42,37
17-42-39,17,42,39
17-42-40,17,42,40
17-42-41-1,17,42,41
17-42-41-2,17,42,41
17-42-41-3,17,42,41
17-42-42,17,42,42
17-42-44,17,42,44
17-42-45-1,17,42,45
17-42-45-2,17,42,45
17-42-46-1,17,42,46
17-42-46-2,17,42,46
17-42-47-1,17,42,47
17-42-47-2,17,42,47
17-42-49,17,42,49
17-42-50-1,17,42,50
17-42-50-2,17,42,50
17-42-54,17,42,54
17-42-55,17,42,55
17-42-56-1,17,42,56
17-42-56-2,17,42,56
17-42-57,17,42,57
17-43-01-1,17,43,01
17-43-01-2,17,43,01
17-43-02-1,17,43,02
17-43-02-2,17,43,02
17-43-05,17,43,05
17-43-06,17,43,06
17-43-13-1,17,43,13
17-43-13-2,17,43,13
17-43-14,17,43,14
17-43-19-1,17,43,19
17-43-19-2,17,43,19
17-43-23,17,43,23
17-43-26-1,17,43,26
17-43-26-2,17,43,26
17-43-27,17,43,27
17-43-30-1,17,43,30
17-43-30-2,17,43,30
17-43-32-1,17,43,32
17-43-32-2,17,43,32
17-43-32-3,17,43,32
17-43-33,17,43,33
17-43-34,17,43,34
17-43-39-1,17,43,39
17-43-39-2,17,43,39
17-43-44-1,17,43,44
17-43-44-2,17,43,44
17-43-45,17,43,45
17-43-46,17,43,46
17-43-47-1,17,43,47
17-43-47-2,17,43,47
17-43-49,17,43,49
17-43-50,17,43,50
17-43-51,17,43,51
17-43-56,17,43,56
17-44-00,17,44,00
17-44-03,17,44,03
17-44-10-1,17,44,10
17-44-10-2,17,44,10
17-44-13,17,44,13
17-44-23,17,44,23
17-44-26,17,44,26
17-44-28,17,44,28
17-44-30,17,44,30
17-44-37,17,44,37
17-44-39,17,44,39
17-44-40,17,44,40
17-44-46,17,44,46
17-44-49,17,44,49
17-44-50-1,17,44,50
17-44-50-2,17,44,50
17-44-51-1,17,44,51
17-44-51-2,17,44,51
17-44-56,17,44,56
17-44-57,17,44,57
17-44-58,17,44,58
17-45-03,17,45,03
17-45-07,17,45,07
17-45-12,17,45,12
17-45-16,17,45,16
17-45-17-1,17,45,17
17-45-17-2,17,45,17
17-45-17-3,17,45,17
17-45-17-4,17,45,17
17-45-19,17,45,19
17-45-20-1,17,45,20
17-45-20-2,17,45,20
17-45-22-1,17,45,22
17-45-22-2,17,45,22
17-45-23-1,17,45,23
17-45-23-2,17,45,23
17-45-24,17,45,24
17-45-26,17,45,26
17-45-27,17,45,27
17-45-33-1,17,45,33
17-45-33-2,17,45,33
17-45-34,17,45,34
17-45-35,17,45,35
17-45-36-1,17,45,36
17-45-36-2,17,45,36
17-45-38,17,45,38
17-45-39-1,17,45,39
17-45-39-2,17,45,39
17-45-39-3,17,45,39
17-45-42-1,17,45,42
17-45-42-2,17,45,42
17-45-42-3,17,45,42
17-45-42-4,17,45,42
17-45-43,17,45,43
17-45-44-1,17,45,44
17-45-44-2,17,45,44
17-45-45,17,45,45
17-45-47-1,17,45,47
17-45-47-2,17,45,47
17-45-47-3,17,45,47
17-45-48-1,17,45,48
17-45-48-2,17,45,48
17-45-49-1,17,45,49
17-45-49-2,17,45,49
17-45-50,17,45,50
17-45-51,17,45,51
17-45-52-1,17,45,52
17-45-52-2,17,45,52
17-45-52-3,17,45,52
17-45-53-1,17,45,53
17-45-53-2,17,45,53
17-45-55-1,17,45,55
17-45-55-2,17,45,55
17-45-56,17,45,56
17-45-57,17,45,57
17-46-00-1,17,46,00
17-46-00-2,17,46,00
17-46-00-3,17,46,00
17-46-01,17,46,01
17-46-09,17,46,09
17-46-12,17,46,12
17-46-21-1,17,46,21
17-46-21-2,17,46,21
17-46-22,17,46,22
17-46-26-1,17,46,26
17-46-26-2,17,46,26
17-46-27,17,46,27
17-46-39,17,46,39
17-46-40-1,17,46,40
17-46-40-2,17,46,40
17-46-46,17,46,46
17-46-48,17,46,48
17-46-49,17,46,49
17-46-54,17,46,54
17-46-55-1,17,46,55
17-46-55-2,17,46,55
17-46-55-3,17,46,55
17-46-59,17,46,59
17-47-01,17,47,01
17-47-03-1,17,47,03
17-47-03-2,17,47,03
17-47-04,17,47,04
17-47-07,17,47,07
17-47-11,17,47,11
17-47-16,17,47,16
17-47-19,17,47,19
17-47-20,17,47,20
17-47-41,17,47,41
17-47-47-1,17,47,47
17-47-47-2,17,47,47
17-47-49-1,17,47,49
17-47-49-2,17,47,49
17-47-50,17,47,50
17-47-51,17,47,51
17-47-52,17,47,52
17-47-53,17,47,53
17-47-54,17,47,54
17-47-56-1,17,47,56
17-47-56-2,17,47,56
17-48-02-1,17,48,02
17-48-02-2,17,48,02
17-48-02-3,17,48,02
17-48-04,17,48,04
17-48-06-1,17,48,06
17-48-06-2,17,48,06
17-48-08,17,48,08
17-48-09,17,48,09
17-48-10,17,48,10
17-48-11,17,48,11
17-48-12-1,17,48,12
17-48-12-2,17,48,12
17-48-13-1,17,48,13
17-48-13-2,17,48,13
17-48-14-1,17,48,14
17-48-14-2,17,48,14
17-48-17,17,48,17
17-48-18,17,48,18
17-48-20,17,48,20
17-48-21-1,17,48,21
17-48-21-2,17,48,21
17-48-22,17,48,22
17-48-24,17,48,24
17-48-25,17,48,25
17-48-28,17,48,28
17-48-29,17,48,29
17-48-30-1,17,48,30
17-48-30-2,17,48,30
17-48-33,17,48,33
17-48-38,17,48,38
17-48-40,17,48,40
17-48-41-1,17,48,41
17-48-41-2,17,48,41
17-48-41-3,17,48,41
17-48-44,17,48,44
17-48-47,17,48,47
17-48-48,17,48,48
17-48-50,17,48,50
17-48-53-1,17,48,53
17-48-53-2,17,48,53
17-48-54,17,48,54
17-48-55,17,48,55
17-48-56,17,48,56
17-48-57,17,48,57
17-48-58,17,48,58
17-49-05,17,49,05
17-49-06-1,17,49,06
17-49-06-2,17,49,06
17-49-08,17,49,08
17-49-13,17,49,13
17-49-18,17,49,18
17-49-19,17,49,19
17-49-21,17,49,21
17-49-31,17,49,31
17-49-33-1,17,49,33
17-49-33-2,17,49,33
17-49-37,17,49,37
17-49-42,17,49,42
17-49-51,17,49,51
17-49-52,17,49,52
17-49-53,17,49,53
17-49-56,17,49,56
17-53-30,17,53,30
17-53-31,17,53,31
17-53-32,17,53,32
17-53-34,17,53,34
17-53-38-1,17,53,38
17-53-38-2,17,53,38
17-53-40-1,17,53,40
17-53-40-2,17,53,40
17-53-42,17,53,42
17-53-43,17,53,43
17-53-44,17,53,44
17-53-45-1,17,53,45
17-53-45-2,17,53,45
17-53-47,17,53,47
17-53-48-1,17,53,48
17-53-48-2,17,53,48
17-53-49,17,53,49
17-53-50,17,53,50
17-53-51,17,53,51
17-53-52,17,53,52
17-53-53,17,53,53
17-53-54,17,53,54
17-53-55,17,53,55
17-53-56,17,53,56
17-53-57,17,53,57
17-53-58-1,17,53,58
17-53-58-2,17,53,58
17-53-58-3,17,53,58
17-53-58-4,17,53,58
17-53-59-1,17,53,59
17-53-59-2,17,53,59
17-54-00,17,54,00
17-54-01-1,17,54,01
17-54-01-2,17,54,01
17-54-01-3,17,54,01
17-54-03,17,54,03
17-54-06,17,54,06
17-54-07-1,17,54,07
17-54-07-2,17,54,07
17-54-11,17,54,11
17-54-12,17,54,12
17-54-17-1,17,54,17
17-54-17-2,17,54,17
17-54-19,17,54,19
17-54-21,17,54,21
17-54-23-1,17,54,23
17-54-23-2,17,54,23
17-54-24-1,17,54,24
17-54-24-2,17,54,24
17-54-25,17,54,25
17-54-26,17,54,26
17-54-28,17,54,28
17-54-30,17,54,30
17-54-32,17,54,32
17-54-33-1,17,54,33
17-54-33-2,17,54,33
17-54-33-3,17,54,33
17-54-34-1,17,54,34
17-54-34-2,17,54,34
17-54-37,17,54,37
17-54-38,17,54,38
17-54-40,17,54,40
17-54-41,17,54,41
17-54-46,17,54,46
17-54-47-1,17,54,47
17-54-47-2,17,54,47
17-54-48,17,54,48
17-54-49-1,17,54,49
17-54-49-2,17,54,49
17-54-50-1,17,54,50
17-54-50-2,17,54,50
17-54-52-1,17,54,52
17-54-52-2,17,54,52
17-54-55-1,17,54,55
17-54-55-2,17,54,55
17-55-07,17,55,07
17-55-08,17,55,08
17-55-15,17,55,15
17-55-21,17,55,21
17-55-25,17,55,25
17-55-26,17,55,26
17-55-31-1,17,55,31
17-55-31-2,17,55,31
17-55-35-1,17,55,35
17-55-35-2,17,55,35
17-55-38-1,17,55,38
17-55-38-2,17,55,38
17-55-43,17,55,43
17-55-46,17,55,46
17-55-54,17,55,54
17-55-55,17,55,55
17-55-57-1,17,55,57
17-55-57-2,17,55,57
17-56-01-1,17,56,01
17-56-01-2,17,56,01
17-56-03,17,56,03
17-56-10,17,56,10
17-56-12,17,56,12
17-56-14-1,17,56,14
17-56-14-2,17,56,14
17-56-30-1,17,56,30
17-56-30-2,17,56,30
17-56-32,17,56,32
17-56-33,17,56,33
17-56-37-1,17,56,37
17-56-37-2,17,56,37
17-56-38-1,17,56,38
17-56-38-2,17,56,38
17-56-40-1,17,56,40
17-56-40-2,17,56,40
17-56-42,17,56,42
17-56-46,17,56,46
17-56-49,17,56,49
17-56-51,17,56,51
17-57-00,17,57,00
17-57-01,17,57,01
17-57-04-1,17,57,04
17-57-04-2,17,57,04
17-57-05,17,57,05
17-57-06-1,17,57,06
17-57-06-2,17,57,06
17-57-07,17,57,07
17-57-12-1,17,57,12
17-57-12-2,17,57,12
17-57-16,17,57,16
17-57-18,17,57,18
17-57-20-1,17,57,20
17-57-20-2,17,57,20
17-57-28,17,57,28
17-57-29,17,57,29
17-57-33-1,17,57,33
17-57-33-2,17,57,33
17-57-37-1,17,57,37
17-57-37-2,17,57,37
17-57-47,17,57,47
17-57-48,17,57,48
17-57-50,17,57,50
17-57-51-1,17,57,51
17-57-51-2,17,57,51
17-57-53,17,57,53
17-57-59-1,17,57,59
17-57-59-2,17,57,59
17-58-00-1,17,58,00
17-58-00-2,17,58,00
17-58-03-1,17,58,03
17-58-03-2,17,58,03
17-58-07,17,58,07
17-58-09,17,58,09
17-58-10,17,58,10
17-58-15,17,58,15
17-58-16,17,58,16
17-58-17,17,58,17
17-58-19-1,17,58,19
17-58-19-2,17,58,19
17-58-21-1,17,58,21
17-58-21-2,17,58,21
17-58-22-1,17,58,22
17-58-22-2,17,58,22
17-58-24,17,58,24
17-58-26,17,58,26
17-58-27-1,17,58,27
17-58-27-2,17,58,27
17-58-31,17,58,31
17-58-33-1,17,58,33
17-58-33-2,17,58,33
17-58-35-1,17,58,35
17-58-35-2,17,58,35
17-58-37,17,58,37
17-58-40,17,58,40
17-58-42,17,58,42
17-58-43,17,58,43
17-58-44-1,17,58,44
17-58-44-2,17,58,44
17-58-45-1,17,58,45
17-58-45-2,17,58,45
17-58-50,17,58,50
17-58-51,17,58,51
17-58-52,17,58,52
17-58-53-1,17,58,53
17-58-53-2,17,58,53
17-58-53-3,17,58,53
17-58-54-1,17,58,54
17-58-54-2,17,58,54
17-58-54-3,17,58,54
17-58-56,17,58,56
17-58-57,17,58,57
17-59-02-1,17,59,02
17-59-02-2,17,59,02
17-59-06,17,59,06
17-59-07-1,17,59,07
17-59-07-2,17,59,07
17-59-08-1,17,59,08
17-59-08-2,17,59,08
17-59-09,17,59,09
17-59-10,17,59,10
17-59-11-1,17,59,11
17-59-11-2,17,59,11
17-59-11-3,17,59,11
17-59-11-4,17,59,11
17-59-19-1,17,59,19
17-59-19-2,17,59,19
17-59-20,17,59,20
17-59-21-1,17,59,21
17-59-21-2,17,59,21
17-59-21-3,17,59,21
17-59-21-4,17,59,21
17-59-26,17,59,26
17-59-28,17,59,28
17-59-31-1,17,59,31
17-59-31-2,17,59,31
17-59-32,17,59,32
17-59-35,17,59,35
17-59-40,17,59,40
17-59-48,17,59,48
17-59-59,17,59,59
18-00-13,18,00,13
18-01-00,18,01,00
18-01-02-1,18,01,02
18-01-02-2,18,01,02
18-01-03,18,01,03
18-01-06,18,01,06
18-01-08,18,01,08
18-01-12,18,01,12
18-01-14,18,01,14
18-01-15,18,01,15
18-01-16-1,18,01,16
18-01-16-2,18,01,16
18-01-19-1,18,01,19
18-01-19-2,18,01,19
18-01-19-3,18,01,19
18-01-20,18,01,20
18-01-22,18,01,22
18-01-23,18,01,23
18-01-24,18,01,24
18-01-25-1,18,01,25
18-01-25-2,18,01,25
18-01-26-1,18,01,26
18-01-26-2,18,01,26
18-01-26-3,18,01,26
18-01-27,18,01,27
18-01-28-1,18,01,28
18-01-28-2,18,01,28
18-01-28-3,18,01,28
18-01-28-4,18,01,28
18-01-29,18,01,29
18-01-30,18,01,30
18-01-31,18,01,31
18-01-32,18,01,32
18-01-33-1,18,01,33
18-01-33-2,18,01,33
18-01-34,18,01,34
18-01-37,18,01,37
18-01-39-1,18,01,39
18-01-39-2,18,01,39
18-01-40,18,01,40
18-01-41,18,01,41
18-01-42-1,18,01,42
18-01-42-2,18,01,42
18-01-42-3,18,01,42
18-01-43,18,01,43
18-01-44,18,01,44
18-01-45,18,01,45
18-01-46,18,01,46
18-01-47,18,01,47
18-01-48,18,01,48
18-01-49,18,01,49
18-01-51,18,01,51
18-01-52,18,01,52
18-01-53-1,18,01,53
18-01-53-2,18,01,53
18-01-53-3,18,01,53
18-01-54,18,01,54
18-01-55-1,18,01,55
18-01-55-2,18,01,55
18-01-55-3,18,01,55
18-02-00,18,02,00
18-02-02,18,02,02
18-02-04,18,02,04
18-02-05-1,18,02,05
18-02-05-2,18,02,05
18-02-08,18,02,08
18-02-10-1,18,02,10
18-02-10-2,18,02,10
18-02-15,18,02,15
18-02-18,18,02,18
18-02-21,18,02,21
18-02-22-1,18,02,22
18-02-22-2,18,02,22
18-02-23,18,02,23
18-02-26,18,02,26
18-02-28,18,02,28
18-02-29,18,02,29
18-02-30,18,02,30
18-02-34-1,18,02,34
18-02-34-2,18,02,34
18-02-36,18,02,36
18-02-38,18,02,38
18-02-44-1,18,02,44
18-02-44-2,18,02,44
18-02-45-1,18,02,45
18-02-45-2,18,02,45
18-02-47,18,02,47
18-02-48,18,02,48
18-02-49-1,18,02,49
18-02-49-2,18,02,49
18-02-49-3,18,02,49
18-02-50-1,18,02,50
18-02-50-2,18,02,50
18-02-50-3,18,02,50
18-02-52-1,18,02,52
18-02-52-2,18,02,52
18-02-53-1,18,02,53
18-02-53-2,18,02,53
18-02-53-3,18,02,53
18-02-54-1,18,02,54
18-02-54-2,18,02,54
18-02-56,18,02,56
18-02-57,18,02,57
18-02-58,18,02,58
18-03-02,18,03,02
18-03-04-1,18,03,04
18-03-04-2,18,03,04
18-03-05,18,03,05
18-03-10,18,03,10
18-03-12,18,03,12
18-03-23,18,03,23
18-03-24,18,03,24
18-03-27,18,03,27
18-03-28-1,18,03,28
18-03-28-2,18,03,28
18-03-30,18,03,30
18-03-31,18,03,31
18-03-32,18,03,32
18-03-33-1,18,03,33
18-03-33-2,18,03,33
18-03-34,18,03,34
18-03-36-1,18,03,36
18-03-36-2,18,03,36
18-03-39,18,03,39
18-03-41,18,03,41
18-03-42,18,03,42
18-03-43,18,03,43
18-03-45,18,03,45
18-03-47,18,03,47
18-03-48,18,03,48
18-03-49,18,03,49
18-03-50,18,03,50
18-03-51-1,18,03,51
18-03-51-2,18,03,51
18-03-52,18,03,52
18-03-53-1,18,03,53
18-03-53-2,18,03,53
18-03-53-3,18,03,53
18-03-54-1,18,03,54
18-03-54-2,18,03,54
18-03-57,18,03,57
18-03-58,18,03,58
18-04-00,18,04,00
18-04-01,18,04,01
18-04-03,18,04,03
18-04-07,18,04,07
18-04-10,18,04,10
18-04-13-1,18,04,13
18-04-13-2,18,04,13
18-04-13-3,18,04,13
18-04-14-1,18,04,14
18-04-14-2,18,04,14
18-04-15-1,18,04,15
18-04-15-2,18,04,15
18-04-16-1,18,04,16
18-04-16-2,18,04,16
18-04-16-3,18,04,16
18-04-17,18,04,17
18-04-18,18,04,18
18-04-19-1,18,04,19
18-04-19-2,18,04,19
18-04-19-3,18,04,19
